Response ID,Which of the below factors influence the most about your career aspirations ?,Would you definitely pursue a Higher Education / Post Graduation outside of India ? If only you have to self sponsor it.,What is the most preferred working environment for you.,Your Current Zip Code / Pin Code,"Which of the below careers looks close to your Aspirational job ?
"
473,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,500080
474,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,516003
475,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,500037,"""Design and Creative strategy in any company"
476,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,560064
477,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,600014
478,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,560064
479,Influencers who had successful careers,"""Yes"," I will earn and do that""",Every Day Office Environment,516003
480,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,500070
481,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,400067,"""Look deeply into Data and generate insights"
482,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office
483,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,500045
484,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,400037
485,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,500052,"""Design and Creative strategy in any company"
486,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,500090
487,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,400077,"""Design and Creative strategy in any company"
488,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Every Day Office Environment,600123
489,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Fully Remote with No option to visit offices,500070,"""Design and Creative strategy in any company"
490,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,580031,"""Teaching in any of the institutes/colleges/online or offline"
491,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,400067,"""Teaching in any of the institutes/colleges/online or offline"
492,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,560018
493,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,641011
494,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,500085
495,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,121012
496,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,400097
497,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,201306,"""Teaching in any of the institutes/colleges/online or offline"
498,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,501023
499,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,400067,"""Teaching in any of the institutes/colleges/online or offline"
500,Influencers who had successful careers,"""Yes"," I will earn and do that""",Every Day Office Environment,500090
501,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,500048
502,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,110077,"""Design and Creative strategy in any company"
503,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,209305
504,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,400067
505,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,249407
506,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,500060
507,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,500019
508,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,509375,"""Design and Creative strategy in any company"
509,Social Media like LinkedIn,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,641659,"""Work as a freelancer and do my thing my way"
510,Social Media like LinkedIn,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,50006
