Response ID,Which of the below factors influence the most about your career aspirations ?,Would you definitely pursue a Higher Education / Post Graduation outside of India ? If only you have to self sponsor it.,What is the most preferred working environment for you.,Your Current Zip Code / Pin Code,"Which of the below careers looks close to your Aspirational job ?
"
416,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Every Day Office Environment
417,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office
418,Influencers who had successful careers,"""Yes"," I will earn and do that""",Every Day Office Environment,390009
419,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,500079
420,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,560066
421,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,421301,"""Business Operations in any organization"
422,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office
423,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,500008
424,Social Media like LinkedIn,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,400083,"""Build and develop a Team"
425,People who have changed the world for better,"""Yes"," I will earn and do that""",Every Day Office Environment,627357
426,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,500036
427,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,500079
428,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,440036
429,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,500060,"""Teaching in any of the institutes/colleges/online or offline"
430,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,560076
431,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,500079,"""Design and Creative strategy in any company"
432,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,560003,"""Design and Creative strategy in any company"
433,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,560100
434,Influencers who had successful careers,"""Yes"," I will earn and do that""",Every Day Office Environment,400042
435,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,500079
436,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Fully Remote with No option to visit offices,641005
437,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,201305
438,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,509209
439,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,501505
440,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office
441,Influencers who had successful careers,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,508213
442,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,500079,"""Design and Creative strategy in any company"
443,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,500070
444,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,509209,"""Design and Creative strategy in any company"
445,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,600056,"""Design and Creative strategy in any company"
446,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,312
447,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office
448,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,500068
449,Social Media like LinkedIn,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,500097,"""Manage and drive End-to-End Projects or Products"
450,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,400043
451,People who have changed the world for better,"""Yes"," I will earn and do that""",Every Day Office Environment,500048
452,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,600125,"""Design and Creative strategy in any company"
453,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,131028,"""Teaching in any of the institutes/colleges/online or offline"
454,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,560092
455,Influencers who had successful careers,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,500036
456,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,603210
457,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 3 days a month at office,500079
458,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,501510
459,Social Media like LinkedIn,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with more than 15 days a month at office,641017,"""Design and Creative strategy in any company"
460,Influencers who had successful careers,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,400043
461,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,71,"""Build and develop a Team"
462,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,602105
463,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,600056,"""Design and Creative strategy in any company"
464,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,682027
465,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,442902
466,Influencers who had successful careers,"""Yes"," I will earn and do that""",Every Day Office Environment,500078
467,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with more than 15 days a month at office,500035
468,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with more than 15 days a month at office,500070
469,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with No option to visit offices,500070,"""Design and Creative strategy in any company"
470,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with No option to visit offices,500070,"""Design and Creative strategy in any company"
471,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Fully Remote with No option to visit offices
472,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,516003,"""Design and Creative strategy in any company"
